De,Ru,Learned
~reverse,True
die Entschuldigung,извинение
der Baum,дерево
der Himmel,небо 
die Blume,цветок 
die Sonne,солнце 
das Gebäude,здание
die Großstadt,большой город
der Zucker,сахар
das Salz,соль
der Pfeffer,перец
das Kino,кинотеатр
der Brief,письмо
der Wald,лес
die Apotheke, аптека) 
der Schulhof, школьный двор
das Silvester, канун Нового года
der Sekt, шампанское
der Wodka, водка
der Fisch, рыба
das Rauchen, курение
die Limonade, лимонад
das Hähnchen, курочка
die Zeitung, газета
das Rot, красный
das Gelb, жёлтый
das Grün, зелёный
bei Grün, на зелёный свет
der Fluss,река {ж} / течение {с}
der Himmel, небо
die Wolke, облако
das Silber, серебро
das Gold, золото
die Cola, кола
die Dose, жестяная/консервная банка
das Glas, бокал
die Birke, берёза
die/das App,приложение
der Staat,государство
die Lebensmittel,продукты питания
die Immobilien,недвижимость
der Pass,паспорт
der Sessel,кресло
das Sofa,диван
der Brief,письмо
der Lohn,зарплата
